,cosine_score,jaccard_score
1999-07-09,,
1999-10-07,,
2000-04-07,,
2000-07-05,0.7340779682393519,0.573545355981207
2000-10-10,0.7394251014444382,0.5852769679300291
2001-04-06,0.7509934425845747,0.6012552301255231
2001-07-02,0.7384312875902099,0.5846214823622672
2001-10-10,0.741166106431022,0.5887596899224806
2002-04-04,0.7940279590970214,0.6578171091445427
2002-07-10,0.7893103999526672,0.649702823179792
2002-10-11,0.7613643670048267,0.6075641915336571
2003-04-10,0.7405484823081796,0.5765706806282722
2003-07-11,0.7523859495058046,0.5961938745168005
2003-10-10,0.7681328718634118,0.620600115406809
2004-04-06,0.7973434247763915,0.6597031335898845
2004-07-09,0.8015222157182562,0.6671920147097452
2004-10-08,0.7989268539818197,0.6641221374045801
2005-04-06,0.840694998335072,0.7250392054364871
2005-07-05,0.8473577013115461,0.7344024054121774
2005-10-05,0.8556062486512144,0.7466904276985743
2006-04-05,0.8603800050278884,0.7534930139720559
2006-07-03,0.854622525424167,0.7450338864220613
2006-10-04,0.8685993959087708,0.7667701121986155
2007-04-04,0.8477032270307194,0.7349589790337283
2007-07-03,0.8375039131629975,0.7197180089724418
2007-10-10,0.8600192367112107,0.7538222911588743
2008-04-09,0.8814258349616411,0.7874172185430464
2008-07-07,0.8875588299024488,0.7974683544303798
2008-10-08,0.8852618379278883,0.7928421052631579
2009-05-06,NaN,NaN
2009-08-05,NaN,NaN
2009-11-04,NaN,NaN
2010-05-10,NaN,NaN
2010-08-09,NaN,NaN
2010-11-09,NaN,NaN
2011-05-10,NaN,NaN
2011-08-09,NaN,NaN
2011-11-09,NaN,NaN
2012-05-10,NaN,NaN
2012-08-09,NaN,NaN
2012-11-08,NaN,NaN
2013-05-09,NaN,NaN
2013-08-08,NaN,NaN
2013-11-07,NaN,NaN
2014-05-09,NaN,NaN
2014-08-07,NaN,NaN
2014-11-05,NaN,NaN
2015-05-05,NaN,NaN
2015-08-03,NaN,NaN
2015-11-03,NaN,NaN
2016-05-06,NaN,NaN
2016-08-04,NaN,NaN
2016-11-03,NaN,NaN
2017-05-04,NaN,NaN
2017-08-04,NaN,NaN
2017-11-03,NaN,NaN
2018-05-04,NaN,NaN
2018-08-03,NaN,NaN
2018-11-02,NaN,NaN
